N-Vector3X,N-Vector3Y,N-Vector3Z,N-QuaternionX,N-QuaternionY,N-QuaternionZ,N-QuaternionW
-0.01006044,1.108804,-0.1736202,0.5990753,-0.4807451,-0.5170302,0.3777204
-0.01006044,1.108804,-0.1736202,0.5990753,-0.4807451,-0.5170302,0.3777204
-0.01006044,1.108804,-0.1736202,0.5990753,-0.4807451,-0.5170302,0.3777204
-0.009885162,1.10875,-0.1730451,0.6019117,-0.4801058,-0.5138444,0.3783713
-0.009656996,1.108761,-0.1730255,0.6028515,-0.4795311,-0.5128893,0.3788993
-0.009656996,1.108761,-0.1730255,0.6028515,-0.4795311,-0.5128893,0.3788993
-0.009271368,1.108829,-0.1737785,0.6057349,-0.4769772,-0.510882,0.3802335
-0.009093806,1.108915,-0.1740096,0.606439,-0.4761368,-0.5104479,0.3807471
-0.009093806,1.108915,-0.1740096,0.606439,-0.4761368,-0.5104479,0.3807471
-0.009093806,1.108915,-0.1740096,0.606439,-0.4761368,-0.5104479,0.3807471
-0.009093806,1.108915,-0.1740096,0.606439,-0.4761368,-0.5104479,0.3807471
-0.009093806,1.108915,-0.1740096,0.606439,-0.4761368,-0.5104479,0.3807471
-0.009093806,1.108915,-0.1740096,0.606439,-0.4761368,-0.5104479,0.3807471
-0.009093806,1.108915,-0.1740096,0.606439,-0.4761368,-0.5104479,0.3807471
-0.009093806,1.108915,-0.1740096,0.606439,-0.4761368,-0.5104479,0.3807471
-0.009093806,1.108915,-0.1740096,0.606439,-0.4761368,-0.5104479,0.3807471
-0.009093806,1.108915,-0.1740096,0.606439,-0.4761368,-0.5104479,0.3807471
-0.009260312,1.110324,-0.1654102,0.595156,-0.4887691,-0.4917664,0.4062759
-0.009472497,1.110244,-0.1645879,0.5931296,-0.4907313,-0.4901296,0.4088436
-0.009396762,1.110298,-0.1627788,0.5888481,-0.493971,-0.4864386,0.4154854
-0.009221271,1.110325,-0.1616413,0.5863489,-0.4955593,-0.4843046,0.4196011
-0.009286277,1.110319,-0.1605982,0.5835736,-0.497324,-0.4824448,0.4235064
-0.009410076,1.110334,-0.1586362,0.5780274,-0.5007954,-0.4788894,0.4309912
-0.009568073,1.110471,-0.1575894,0.5748776,-0.5025556,-0.4773102,0.4348893
-0.009913906,1.110582,-0.1563902,0.5710756,-0.50465,-0.4758736,0.4390277
-0.01001317,1.110861,-0.1536566,0.5633042,-0.5083358,-0.4720687,0.4488143
-0.009871617,1.110978,-0.1522865,0.55947,-0.5098547,-0.4700285,0.4539986
-0.01005511,1.111184,-0.1498576,0.5515468,-0.512902,-0.4668708,0.4634212
-0.01019676,1.111369,-0.1485769,0.547269,-0.5145219,-0.4654129,0.4681396
-0.01023451,1.111738,-0.1455697,0.5378684,-0.5176442,-0.461971,0.4788789
-0.01001993,1.111934,-0.1441108,0.5333117,-0.5188121,-0.4600985,0.4844812
-0.009654313,1.112277,-0.1417191,0.5249581,-0.5209119,-0.4567438,0.4944238
-0.009280354,1.112502,-0.1406027,0.5210625,-0.521814,-0.4550475,0.499135
-0.009083815,1.113096,-0.1379872,0.5083832,-0.5243182,-0.4522781,0.5119389
-0.009083815,1.113096,-0.1379872,0.5083832,-0.5243182,-0.4522781,0.5119389
-0.008361891,1.11662,-0.1367812,0.5017503,-0.5245941,-0.4506835,0.5195498
-0.008299902,1.116687,-0.1361911,0.4980119,-0.5252759,-0.4499739,0.5230612
-0.008070953,1.116896,-0.1352109,0.4910081,-0.5264522,-0.4488984,0.529386
-0.008070953,1.116896,-0.1352109,0.4910081,-0.5264522,-0.4488984,0.529386
-0.007528216,1.117244,-0.1342474,0.482577,-0.527391,-0.4474058,0.537407
-0.007528216,1.117244,-0.1342474,0.482577,-0.527391,-0.4474058,0.537407
-0.007274695,1.117301,-0.1341927,0.4805032,-0.5275029,-0.4469454,0.5395342
-0.00690522,1.117391,-0.134146,0.4767821,-0.5279786,-0.4461986,0.5429773
-0.006670356,1.117672,-0.1337385,0.4727215,-0.5288062,-0.4452209,0.5465133
-0.006461091,1.117982,-0.133044,0.4685929,-0.5299778,-0.4436047,0.5502356
-0.006461091,1.117982,-0.133044,0.4685929,-0.5299778,-0.4436047,0.5502356
-0.006374337,1.118135,-0.1326481,0.4666019,-0.5306363,-0.4426051,0.5520948
-0.006164573,1.118634,-0.1317129,0.462448,-0.5323578,-0.4403099,0.5557556
-0.00599087,1.119359,-0.1305254,0.4579713,-0.5344298,-0.4374481,0.5597199
-0.005784139,1.1199,-0.1293388,0.4539995,-0.5366791,-0.4340858,0.5634089
-0.00575643,1.120103,-0.1288989,0.4522241,-0.5377008,-0.432619,0.5649884
-0.005678892,1.120312,-0.1285067,0.4505428,-0.5386948,-0.4311534,0.5665032
-0.005673051,1.120923,-0.1277728,0.4472027,-0.5408865,-0.4282197,0.5692798
